CODIGO|NOME|ESTADO
0001|SECRETARIA DO ESTADO DO ACRE |AC
0002|SECRETARIA DO ESTADO DE ALAGOAS|AL
0003|SECRETARIA DO ESTADO DO AMAPÁ - ICMS|AP
0004|SECRETARIA DO ESTADO DO AMAZONAS|AM
0005|SECRETARIA DO ESTADO DA BAHIA |BA
0006|SECRETARIA DO ESTADO DO CEARÁ |CE
0007|SECRETARIA DO ESTADO DO ESPÍRITO SANTO|ES
0008|SECRETARIA DO ESTADO DE GOIÁS|GO
0009|SECRETARIA DO GOVERNO DO DISTRITO FEDERAL |DF
0010|SECRETARIA DO ESTADO DA FAZENDA DO MARANHÃO - DARE|MA
0011|SECRETARIA DO ESTADO DE MATO GROSSO|MT
0012|SECRETARIA DO ESTADO DE MATO GROSSO DO SUL |MS
0013|SECRETARIA DO ESTADO DE MINAS GERAIS-EXERC.98 |MG
0014|SECRETARIA DO ESTADO DO PARÁ |PA
0015|SECRETARIA DO ESTADO DA PARAÍBA  - ITCD|PB
0016|DEPARTAMENTO ESTADUAL DE TRÂNSITO|PR
0017|SECRETARIA DO ESTADO DE PERNAMBUCO |PE
0018|SECRETARIA DO ESTADO DO PIAUÍ |PI
0019|SECRETARIA DO ESTADO DO RIO DE JANEIRO |RJ
0020|SECRETARIA DO ESTADO DO RIO GRANDE DO NORTE |RN
0021|SECRETARIA DO ESTADO DO RIO GRANDE DO SUL |RS
0022|SECRETARIA DO ESTADO DE RONDÔNIA |RO
0023|SECRETARIA DO ESTADO DE RORAIMA - IPVA|RR
0024|SECRETARIA DO ESTADO DE SANTA CATARINA   |SC
0025|SECRETARIA DO ESTADO DE SÃO PAULO |SP
0026|LICENCIAMENTO DETRAN - SE|SE
0027|SECRETARIA DO ESTADO DE TOCANTINS |TO
0028|DEPTO. POLÍCIA RODOVIÁRIA FEDERAL - 1ª SUPERINT.|GO
0029|DEPTO. POLÍCIA RODOVIÁRIA FEDERAL - 2ª SUPERINT.|MT
0030|DEPTO. POLÍCIA RODOVIÁRIA FEDERAL - 3ª SUPERINT.|MS
0031|DEPTO. POLÍCIA RODOVIÁRIA FEDERAL - 4ª SUPERINT.|MG
